"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"7722","A Dance of Fire and Ice","Jan 24, 2019","$5.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","7th Beat Games","7th Beat Games, indienova"
"7723","Muse Dash","Jun 20, 2019","$2.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","peropero","hasuhasu"
"7724","ASTRONEER","Feb 5, 2019","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","System Era Softworks","System Era Softworks"
"7725","Space Engineers","Feb 28, 2019","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Keen Software House","Keen Software House"
"17","AMID EVIL","Jun 20, 2019","$19.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Indefatigable","New Blood Interactive"
"19","Supraland","Apr 5, 2019","$19.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Supra Games","Supra Games"
"28","DiRT Rally 2.0","Feb 25, 2019","$19.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"59","Trine 4: The Nightmare Prince","Oct 8, 2019","$29.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Frozenbyte","Frozenbyte"
"61","My Friend Pedro","Jun 20, 2019","$19.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","DeadToast Entertainment","Devolver Digital"
"62","A Plague Tale: Innocence","May 14, 2019","$39.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Asobo Studio","Focus Entertainment"
"105","Tropico 6","Mar 29, 2019","$39.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:00 (00:00)","Limbic Entertainment, Realmforge Studios","Kalypso Media"
"106","Forager","Apr 18, 2019","$19.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:00 (00:00)","HopFrog","Humble Games"
"118","Darksiders Genesis","Dec 5, 2019","$29.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Airship Syndicate","THQ Nordic"
"120","Assetto Corsa Competizione","May 29, 2019","$11.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Kunos Simulazioni","505 Games"
"122","Blasphemous","Sep 10, 2019","$24.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","The Game Kitchen","Team17"
"167","My Time at Portia","Jan 15, 2019","$29.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:00 (00:00)","Pathea Games","Focus Entertainment"
"171","Unheard - Voices of Crime","Mar 28, 2019","$2.79","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","NEXT Studios","NEXT Studios, 505 Games"
"172","BONEWORKS","Dec 10, 2019","$29.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Stress Level Zero","Stress Level Zero"
"173","CODE VEIN","Sep 26, 2019","$11.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Bandai Namco Studios","Bandai Namco Entertainment"
"181","GOD EATER 3","Feb 7, 2019","$5.99","N/A (N/A/71%)","1,000,000 .. 2,000,000","00:00 (00:00)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
"244","JUMP FORCE","Feb 14, 2019","N/A","N/A (N/A/60%)","1,000,000 .. 2,000,000","00:00 (00:00)","Spike Chunsoft Co., Ltd.","BANDAI NAMCO Entertainment"
"1447","Ironsight","Dec 18, 2019","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Wiple Games","Aeria Games"
"1451","Ylands","Dec 5, 2019","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
"1453","Himno","Apr 26, 2019","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","David Moralejo Sánchez","GrabTheGames, UpgradePoint"
"1463","Gothic Playable Teaser","Dec 2019","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","THQ Nordic Barcelona","THQ Nordic"
"1465","Real Pool 3D - Poolians","Dec 15, 2019","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Poolians.com","ThankGame.com"
"1468","BLOCKPOST","Apr 25, 2019","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Skullcap Studios","Skullcap Studios"
"1471","Drunken Wrestlers 2","Apr 1, 2019","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Oleg Skutte","Gamegrustudio"
"1473","War Selection","Oct 8, 2019","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Glyph Worlds","Glyph Worlds"
"1475","eFootball PES 2020","Sep 10, 2019","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"7641","STAR WARS Battlefront (Classic, 2004)","May 1, 2019","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Pandemic Studios","Lucasfilm, LucasArts, Disney"
"7669","Assassin's Creed III Remastered","Mar 29, 2019","$39.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Entertainment","Ubisoft Entertainment"
"7693","BATTALION 1944","May 23, 2019","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","BULKHEAD","BULKHEAD"
"7694","Road Redemption","Oct 7, 2019","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Redemption Road, Pixel Dash Studios","Tripwire Presents"
"7704","60 Seconds! Reatomized","Jul 25, 2019","$4.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Robot Gentleman","Robot Gentleman"
"7705","Dawn of Man","Mar 1, 2019","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Madruga Works","Madruga Works"
"7706","Secret Neighbor: Hello Neighbor Multiplayer","Oct 24, 2019","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Hologryph, Eerie Guest Studios","tinyBuild"
"7707","Project Winter","May 23, 2019","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Other Ocean Interactive","Other Ocean Group"
"7709","Spyro Reignited Trilogy","Sep 3, 2019","$13.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Toys for Bob, Iron Galaxy Studios","Activision"
"7711","Streets of Rogue","Jul 12, 2019","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Matt Dabrowski","tinyBuild"
"7714","Far Cry New Dawn","Feb 15, 2019","$39.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Montreal, Ubisoft Kiev, Ubisoft Shanghai","Ubisoft"
"7716","觅长生","Nov 26, 2019","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Chalcedony Network","Chalcedony Network"
"7717","Generation Zero","Mar 26, 2019","$5.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Systemic Reaction™","Systemic Reaction™"
"7718","The Long Drive","Sep 25, 2019","$9.59","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Genesz","Genesz"
"7720","Bloodstained: Ritual of the Night","Jun 18, 2019","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","ArtPlay","505 Games"
"7721","PC Building Simulator","Jan 29, 2019","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Claudiu Kiss, The Irregular Corporation","The Irregular Corporation"
"10","Sunless Skies: Sovereign Edition","Jan 31, 2019","$24.99","N/A (N/A/87%)","500,000 .. 1,000,000","00:00 (00:00)","Failbetter Games","Failbetter Games"
"11","F1 2019","Jun 27, 2019","N/A","N/A (N/A/87%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"12","Baba Is You","Mar 13, 2019","$14.99","N/A (N/A/87%)","500,000 .. 1,000,000","00:00 (00:00)","Hempuli Oy","Hempuli Oy"
"26","Reventure","Jun 4, 2019","$1.83","N/A (N/A/84%)","500,000 .. 1,000,000","00:00 (00:00)","Pixelatto","Pixelatto"
"40","Wargroove","Feb 1, 2019","$19.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Chucklefish","Chucklefish"
"42","Yakuza Kiwami 2","May 9, 2019","$10.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Ryu Ga Gotoku Studio","SEGA"
"43","ISLANDERS","Apr 4, 2019","$4.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Coatsink, GrizzlyGames, Stage Clear Studios","Coatsink"
"44","Gears 5","Sep 9, 2019","$9.89","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","The Coalition","Xbox Game Studios"
"57","Age of Wonders: Planetfall","Aug 6, 2019","$29.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Triumph Studios","Paradox Interactive"
"58","Yuppie Psycho: Executive Edition","Apr 25, 2019","$6.79","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Baroque Decay","Neon Doctrine"
"60","Anno 1800","Apr 2019","$14.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Ubisoft Mainz","Ubisoft"
"79","Catherine Classic","Jan 10, 2019","$4.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","ATLUS","SEGA"
"81","OCTOPATH TRAVELER","Jun 7, 2019","$59.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Square Enix, ACQUIRE Corp.","Square Enix"
"82","Yakuza Kiwami","Feb 19, 2019","$10.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Ryu Ga Gotoku Studio","SEGA"
"94","Ion Fury","Aug 15, 2019","$9.99","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Voidpoint, LLC","3D Realms"
"104","Descenders","May 7, 2019","$24.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","RageSquid","No More Robots"
"116","Blood Fresh Supply","May 9, 2019","$9.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Nightdive Studios, Monolith Productions","Atari"
"117","Battlefleet Gothic: Armada 2","Jan 24, 2019","$19.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Tindalos Interactive","Focus Entertainment"
"119","We Were Here Together","Oct 10, 2019","$4.93","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Total Mayhem Games","Total Mayhem Games"
"133","The Surge 2","Sep 23, 2019","$29.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Deck13","Focus Entertainment"
"134","EARTH DEFENSE FORCE 5","Jul 11, 2019","$59.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","SANDLOT","D3PUBLISHER"
"135","Imperator: Rome","Apr 25, 2019","$11.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Paradox Development Studio","Paradox Interactive"
"136","Transport Fever 2","Dec 11, 2019","$13.59","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Urban Games","Good Shepherd Entertainment"
"142","Police Stories","Sep 19, 2019","$19.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","HypeTrain Digital","HypeTrain Digital"
"144","The Dark Pictures Anthology: Man of Medan","Aug 29, 2019","$19.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Supermassive Games","BANDAI NAMCO Entertainment Europe"
"150","The Beast Inside","Oct 17, 2019","$24.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:00 (00:00)","Illusion Ray","Illusion Ray"
"151","Pikuniku","Jan 24, 2019","$12.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:00 (00:00)","Arnaud De Bock, Rémi Forcadell, Alan Zucconi, Calum Bowen","Devolver Digital"
"162","The Legend of Bum-Bo","Nov 12, 2019","$14.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Edmund McMillen, James Interactive, Ridiculon","Edmund McMillen"
"163","while True: learn()","Jan 17, 2019","$12.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Luden.io","Luden.io"
"164","DEAD OR ALIVE 6","Feb 28, 2019","$59.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"165","Steel Division 2","Jun 20, 2019","$39.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Eugen Systems","Eugen Systems"
"166","RAGE 2","May 14, 2019","$39.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","id Software, Avalanche Studios","Bethesda Softworks"
"170","GreedFall","Sep 9, 2019","$34.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Spiders","Focus Entertainment"
"180","SD GUNDAM G GENERATION CROSS RAYS","Nov 27, 2019","$39.99","N/A (N/A/71%)","500,000 .. 1,000,000","00:00 (00:00)","TOM CREATE, 株式会社トムクリエイト","BANDAI NAMCO Entertainment, 株式会社バンダイナムコエンターテインメント"
"182","Sniper Ghost Warrior Contracts","Nov 22, 2019","$39.99","N/A (N/A/71%)","500,000 .. 1,000,000","00:00 (00:00)","Underdog Studio","CI Games"
"199","Warhammer: Chaosbane","May 31, 2019","$29.99","N/A (N/A/69%)","500,000 .. 1,000,000","00:00 (00:00)","Eko Software","Nacon"
"200","Blair Witch","Aug 30, 2019","$29.99","N/A (N/A/69%)","500,000 .. 1,000,000","00:00 (00:00)","Bloober Team SA","Bloober Team NA"
"202","Age of Empires: Definitive Edition","Aug 19, 2019","$19.99","N/A (N/A/69%)","500,000 .. 1,000,000","00:00 (00:00)","Forgotten Empires, Tantalus","Xbox Game Studios"
"229","Cooking Simulator","Jun 6, 2019","$8.99","N/A (N/A/64%)","500,000 .. 1,000,000","00:00 (00:00)","Big Cheese Studio","Big Cheese Studio, PlayWay S.A."
"260","Swag and Sorcery","May 9, 2019","$12.99","N/A (N/A/51%)","500,000 .. 1,000,000","00:00 (00:00)","Lazy Bear Games, Uroboros Games","tinyBuild"
"267","WWE 2K20","Oct 21, 2019","N/A","N/A (N/A/43%)","500,000 .. 1,000,000","00:00 (00:00)","Visual Concepts","2K"
"1293","Cat Burglar: A Tail of Purrsuit","Mar 5, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Gamers for Good","Gamers for Good"
"1390","Inferna","Dec 20, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","INFERNA LIMITED","INFERNA LIMITED"
"1402","DISSIDIA FINAL FANTASY NT Free Edition","Mar 12, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Square Enix, KOEI TECMO GAMES CO., LTD.","Square Enix"
"1405","The Horus Heresy: Legions","Mar 28, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Everguild Ltd.","Everguild Ltd."
"1412","New Frontier","Dec 27, 2019","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Free Reign Entertainment","Free Reign Entertainment"
"1423","Secret Neighbor Beta","Aug 2, 2019","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Hologryph, Dynamic Pixels","tinyBuild"
"1425","Supraball","Feb 8, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Supra Games","Supra Games"
"1428","Vainglory","Feb 13, 2019","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Super Evil Megacorp","Super Evil Megacorp"
"1433","Totally Reliable Delivery Service Beta","Jun 24, 2019","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","We're Five Games","tinyBuild"
"1435","FrostRunner","Jan 1, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Think Arcade","SMU Guildhall"
"1438","Coloring Game","Apr 12, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","L. Stotch","L. Stotch"
"1439","Firestone Idle RPG","Sep 26, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Holyday Studios","Holyday Studios"
"1441","Kritika:REBOOT","Nov 11, 2019","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","ALLM Co., Ltd.","ALLM Co., Ltd."
"1442","Lords Mobile","Jun 2, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","IGG SINGAPORE PTE. LTD.","IGG SINGAPORE PTE. LTD."
"1443","Hello Neighbor Alpha 4","Oct 19, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Dynamic Pixels","tinyBuild"
"1444","异化之恶〇Abnormal Treatment","Aug 2, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Eternal Dream","Eternal Dream, 迷糊的安安"
"1445","Quake II RTX","Jun 6, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Lightspeed Studios™","NVIDIA"
"1448","Immortal Soul: Black Survival","Mar 19, 2019","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Nimble Neuron","Nimble Neuron, Boltrend Global PTE.LTD"
"1454","UNDEFEATED","Aug 2, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","UNDEFEATED Games, Indie-us Games","Vantan Game Academy"
"1455","Blush Blush","Apr 4, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Sad Panda Studios","Sad Panda Studios"
"1456","Neon Beats","May 3, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","OKYO GAMES","OKYO GAMES"
"1458","Pool 2D - Poolians","Dec 15, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Poolians.com","ThankGame.com"
"1460","月圆之夜 (Night of Full Moon)","Jul 26, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Giant Games","Giant Games"
"1461","Paunch","Dec 4, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Kozhakov","Kozhakov"
"1466","NGU IDLE","Oct 1, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","4G","4G"
"1467","I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator","Sep 24, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Psyop","KFC"
"1469","Grimm's Hollow","Oct 30, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","ghosthunter","ghosthunter"
"1472","missed messages.","May 20, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Angela He","Angela He"
"7560","Trials Rising","Feb 26, 2019","$3.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","RedLynx","Ubisoft"
"7571","ArcheAge: Unchained","Oct 17, 2019","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","XLGAMES","Kakao Games Europe B.V."
"7586","OMON Simulator","Oct 18, 2019","$0.49","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Ukrainian Bears, Hideo Milos","United Nations, Putin The Best, Ukrainian Bears"
"7598","妄想破绽 Broken Delusion","Nov 27, 2019","$6.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","","bilibili"
"7602","OVR Toolkit","Jun 28, 2019","$11.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Curtis English","Curtis English"
"7616","FINAL FANTASY VIII - REMASTERED","Sep 3, 2019","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Square Enix","Square Enix"
"7617","Rise of Industry","May 2, 2019","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Dapper Penguin Studios","Kasedo Games"
"7618","Tales of the Neon Sea","Apr 29, 2019","$16.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","YiTi Games","Thermite Games"
"7619","Serious Sam Classics: Revolution","Aug 30, 2019","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Croteam, Alligator Pit","Devolver Digital"
"7631","Cliff Empire","Aug 6, 2019","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Lion's Shade","Lion's Shade"
"7643","Fun with Ragdolls: The Game","Sep 17, 2019","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Jadon Barnes","Fun & Simple"
"7647","Swords & Souls: Neverseen","Jul 22, 2019","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","SoulGame Studio","Armor Games Studios"
"7650","Day of Dragons","Dec 4, 2019","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Beawesome Games","Beawesome Games"
"7656","The Coin Game","Feb 22, 2019","$13.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","devotid","Kwalee"
