"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"174","Farming Simulator 19","Nov 19, 2018","$17.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:00 (00:00)","Giants Software","Giants Software"
"228","Jurassic World Evolution","Jun 11, 2018","$11.24","N/A (N/A/69%)","2,000,000 .. 5,000,000","00:00 (00:00)","Frontier Developments","Frontier Developments"
"253","House Flipper","May 17, 2018","$24.99","N/A (N/A/67%)","2,000,000 .. 5,000,000","00:00 (00:00)","Empyrean","Frozen District, PlayWay S.A."
"1587","Kingdom Two Crowns","Dec 11, 2018","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Stumpy","Raw Fury"
"1594","SoulWorker - Anime Action MMO","Feb 26, 2018","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Lion Games Co., Ltd.","Gameforge 4D GmbH"
"1596","War Robots","Apr 5, 2018","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","MY.GAMES HOLDINGS LTD","MY.GAMES HOLDINGS LTD"
"1597","Creative Destruction","Aug 2, 2018","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","NetEase Games","NetEase Games"
"1600","DCS World Steam Edition","Mar 18, 2018","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Eagle Dynamics SA","Eagle Dynamics SA"
"1602","Ultimate Custom Night","Jun 27, 2018","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Scott Cawthon","Scott Cawthon"
"1604","Totally Accurate Battlegrounds","Jun 5, 2018","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Landfall","Landfall"
"7971","太吾绘卷 The Scroll Of Taiwu","Sep 20, 2018","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","ConchShip Games","ConchShip Games"
"7973","Pummel Party","Sep 20, 2018","$14.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Rebuilt Games","Rebuilt Games"
"7975","The Crew 2","Jun 28, 2018","$1","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Ivory Tower","Ubisoft"
"7978","Mirror","Apr 19, 2018","$1.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","KAGAMI WORKS","Paradise Project"
"7979","Far Cry 5","Mar 26, 2018","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Ubisoft Montreal, Red Storm, Ubisoft Shanghai, Ubisoft Toronto, Ubisoft Kiev","Ubisoft"
"7980","Assassin's Creed Odyssey","Oct 5, 2018","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft Shanghai","Ubisoft"
"7982","Bloons TD 6","Dec 17, 2018","$13.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Ninja Kiwi","Ninja Kiwi"
"1","Into the Breach","Feb 27, 2018","$14.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","00:00 (00:00)","Subset Games","Subset Games"
"4","Pillars of Eternity II: Deadfire","May 8, 2018","$39.99","N/A (N/A/88%)","1,000,000 .. 2,000,000","00:00 (00:00)","Obsidian Entertainment","Versus Evil, Obsidian Entertainment"
"5","DUSK","Dec 10, 2018","$9.99","N/A (N/A/88%)","1,000,000 .. 2,000,000","00:00 (00:00)","David Szymanski","New Blood Interactive"
"15","Football Manager 2019","Nov 2, 2018","N/A","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"17","Yakuza 0","Aug 1, 2018","$10.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ryu Ga Gotoku Studio","SEGA"
"29","GRIS","Dec 13, 2018","$14.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","Nomada Studio","Devolver Digital"
"43","Two Point Hospital","Aug 29, 2018","$5.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","00:00 (00:00)","Two Point Studios","SEGA"
"58","The Elder Scrolls V: Skyrim VR","Apr 2, 2018","$59.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Bethesda Game Studios","Bethesda Softworks"
"60","Wreckfest","Jun 14, 2018","$29.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Bugbear","THQ Nordic"
"71","SOULCALIBUR VI","Oct 18, 2018","$14.39","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","BANDAI NAMCO Studios Inc., Dimps Corporation","BANDAI NAMCO Entertainment"
"83","Wizard of Legend","May 15, 2018","$15.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","00:00 (00:00)","Contingent99","Contingent99, Humble Games"
"97","BATTLETECH","Apr 24, 2018","$39.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:00 (00:00)","Harebrained Schemes","Paradox Interactive"
"110","Shadow of the Tomb Raider: Definitive Edition","Sep 14, 2018","Free","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Eidos-Montréal, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)","Crystal Dynamics, Feral Interactive (Mac), Feral interactive (Linux)"
"127","Artifact","Nov 28, 2018","N/A","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Valve","Valve"
"128","Surviving Mars","Mar 15, 2018","$7.49","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Haemimont Games, Abstraction","Paradox Interactive"
"208","Darksiders III","Nov 27, 2018","$39.99","N/A (N/A/70%)","1,000,000 .. 2,000,000","00:00 (00:00)","Gunfire Games","THQ Nordic"
"224","World of Warplanes","Sep 12, 2018","Free","N/A (N/A/69%)","1,000,000 .. 2,000,000","00:00 (00:00)","Wargaming Group Limited","Wargaming Group Limited"
"227","Graveyard Keeper","Aug 15, 2018","$19.99","N/A (N/A/69%)","1,000,000 .. 2,000,000","00:00 (00:00)","Lazy Bear Games","tinyBuild"
"242","Strange Brigade","Aug 27, 2018","$49.99","N/A (N/A/68%)","1,000,000 .. 2,000,000","00:00 (00:00)","Rebellion","Rebellion"
"244","Just Cause 4 Reloaded","Dec 4, 2018","$69.03","N/A (N/A/68%)","1,000,000 .. 2,000,000","00:00 (00:00)","Avalanche Studios","Square Enix"
"252","Warhammer 40,000: Inquisitor - Martyr","Jun 5, 2018","$49.99","N/A (N/A/67%)","1,000,000 .. 2,000,000","00:00 (00:00)","NeocoreGames","NeocoreGames"
"274","Murderous Pursuits","Apr 26, 2018","$9.99","N/A (N/A/63%)","1,000,000 .. 2,000,000","00:00 (00:00)","Blazing Griffin","Blazing Griffin"
"284","Sword Art Online: Fatal Bullet","Feb 23, 2018","$39.99","N/A (N/A/61%)","1,000,000 .. 2,000,000","00:00 (00:00)","DIMPS","BANDAI NAMCO Entertainment"
"1518","Prismata","Mar 8, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Lunarch Studios","Lunarch Studios"
"1563","Modern Combat 5","Oct 24, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Gameloft","Gameloft"
"1564","Never Split the Party","Sep 14, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Legend Studio","Legend Studio"
"1566","音灵 INVAXION","Dec 19, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Nanjing AQUATRAX","bilibili"
"1568","Islands of Nyne: Battle Royale","Jul 12, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Define Human Studios","Define Human Studios"
"1569","Dead Maze","Feb 13, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Atelier 801","Atelier 801"
"1572","Bless Online","Oct 23, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","NEOWIZ BLESS STUDIO","NEOWIZ"
"1576","LET IT DIE","Sep 26, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","GRASSHOPPER MANUFACTURE INC., SUPERTRICK GAMES, Inc.","GungHo Online Entertainment America, Inc."
"1577","Dreadnought","Oct 14, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Six Foot, YAGER","Grey Box, Six Foot"
"1579","GUNS UP!","Feb 5, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Valkyrie Entertainment, LLC","PlayStation PC LLC"
"1585","Radical Heights","Apr 10, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Boss Key Productions","Boss Key Productions"
"1586","Battlerite Royale","Sep 26, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Stunlock Studios","Stunlock Studios"
"1592","AirMech Strike","Mar 30, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Carbon Games","Carbon Games"
"1595","Will To Live Online","Apr 5, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","AlphaSoft LLC","AlphaSoft LLC"
"1598","Dark Deception","Sep 26, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Glowstick Entertainment","Glowstick Entertainment"
"6450","The Pillage","May 31, 2018","$2.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Bishop Armstrong","Bishop Armstrong"
"7929","FINAL FANTASY XII THE ZODIAC AGE","Feb 1, 2018","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Square Enix","Square Enix"
"7938","Call of Cthulhu","Oct 29, 2018","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Cyanide Studio","Focus Entertainment"
"7939","Door Kickers: Action Squad","Sep 10, 2018","$13.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","PixelShard, KillHouse Games","KillHouse Games"
"7954","Moonlighter","May 29, 2018","$3.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Digital Sun","11 bit studios"
"7955","Crash Bandicoot N. Sane Trilogy","Jun 29, 2018","$15.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Vicarious Visions, Iron Galaxy","Activision"
"7956","X4: Foundations","Nov 30, 2018","$49.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Egosoft","Egosoft"
"7957","Squad 44","Aug 9, 2018","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Offworld","Offworld"
"7958","GROUND BRANCH","Aug 14, 2018","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","BlackFoot Studios","MicroProse Software"
"7959","Call to Arms","Apr 27, 2018","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Digitalmindsoft","Digitalmindsoft"
"7961","ATLAS","Dec 22, 2018","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Grapeshot Games, Instinct Games","Grapeshot Games, Snail Games USA"
"7962","Farm Together","Oct 11, 2018","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Milkstone Studios","Milkstone Studios"
"7963","TerraTech","Aug 10, 2018","$7.49","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Payload Studios","Payload Studios"
"7965","Chinese Parents","Sep 28, 2018","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","墨鱼玩游戏","墨鱼玩游戏"
"7966","Thief Simulator","Nov 9, 2018","$1.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Noble Muffins","PlayWay S.A."
"7968","Lobotomy Corporation | Monster Management Simulation","Apr 9, 2018","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","ProjectMoon","ProjectMoon"
"7969","Age of History II","Nov 21, 2018","$4.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Łukasz Jakowski","Łukasz Jakowski Games"
"7970","Gujian3(古剑奇谭三)","Dec 14, 2018","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","上海烛龙信息科技有限公司, Aurogon Shanghai","北京网元圣唐娱乐科技有限公司"
"7972","FINAL FANTASY XV WINDOWS EDITION","Mar 6, 2018","$13.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Square Enix","Square Enix"
"7974","NARUTO TO BORUTO: SHINOBI STRIKER","Aug 31, 2018","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Soleil Ltd.","Bandai Namco Entertainment"
"2","Return of the Obra Dinn","Oct 18, 2018","$19.99","N/A (N/A/89%)","500,000 .. 1,000,000","00:00 (00:00)","Lucas Pope","3909"
"16","CrossCode","Sep 20, 2018","$19.99","N/A (N/A/86%)","500,000 .. 1,000,000","00:00 (00:00)","Radical Fish Games","Deck13, WhisperGames, DANGEN Entertainment, Mayflower Entertainment"
"21","Thronebreaker: The Witcher Tales","Nov 9, 2018","$3.99","N/A (N/A/85%)","500,000 .. 1,000,000","00:00 (00:00)","CD PROJEKT RED","CD PROJEKT RED"
"38","Valkyria Chronicles 4 Complete Edition","Sep 25, 2018","$9.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","SEGA","SEGA"
"39","Parkitect","Nov 29, 2018","$14.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Texel Raptor","Texel Raptor"
"40","The Messenger","Aug 30, 2018","$19.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Sabotage","Devolver Digital"
"41","Sunset Overdrive","Nov 16, 2018","$4.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Insomniac Games, Blind Squirrel Games","Xbox Game Studios"
"42","F1 2018","Aug 23, 2018","N/A","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"59","Ni no Kuni II: Revenant Kingdom","Mar 23, 2018","$9.59","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","LEVEL5 Inc.","BANDAI NAMCO Entertainment"
"73","FAR: Lone Sails","May 17, 2018","$2.24","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Okomotive","Assemble Entertainment"
"94","Pit People","Mar 2, 2018","$19.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","The Behemoth","The Behemoth"
"95","Warhammer 40,000: Mechanicus","Nov 15, 2018","$29.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Bulwark Studios","Kasedo Games"
"96","Mutant Year Zero: Road to Eden","Dec 4, 2018","$34.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","The Bearded Ladies","Funcom"
"107","Ancestors Legacy","May 22, 2018","$3.49","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Destructive Creations","Destructive Creations"
"109","The Walking Dead: The Final Season","Aug 14, 2018","$3.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Telltale Games","Skybound Games"
"125","Beholder 2","Dec 4, 2018","$17.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Alawar Stargaze (Warm Lamp Games)","Alawar"
"138","Project Hospital","Oct 30, 2018","$24.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Oxymoron Games","Oxymoron Games"
"155","Railway Empire","Jan 26, 2018","$8.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:00 (00:00)","Gaming Minds Studios","Kalypso Media"
"172","Monster Prom","Apr 27, 2018","$2.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Beautiful Glitch","Xelu, Those Awesome Guys"
"187","Book of Demons","Dec 13, 2018","$24.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Thing Trunk","Thing Trunk"
"188","Vampyr","Jun 4, 2018","$39.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","DONTNOD Entertainment","Focus Entertainment"
"195","Cultist Simulator","May 31, 2018","$19.99","N/A (N/A/71%)","500,000 .. 1,000,000","00:00 (00:00)","Weather Factory","Weather Factory"
"196","Warhammer 40,000: Gladius - Relics of War","Jul 12, 2018","$39.99","N/A (N/A/71%)","500,000 .. 1,000,000","00:00 (00:00)","Proxy Studios","Slitherine Ltd."
"207","ATOM RPG: Post-apocalyptic indie game","Dec 19, 2018","$14.99","N/A (N/A/70%)","500,000 .. 1,000,000","00:00 (00:00)","AtomTeam","AtomTeam"
"243","Genital Jousting","Jan 18, 2018","$6.99","N/A (N/A/68%)","500,000 .. 1,000,000","00:00 (00:00)","Free Lives","Devolver Digital"
"251","Bus Simulator 18","Jun 13, 2018","$7.49","N/A (N/A/67%)","500,000 .. 1,000,000","00:00 (00:00)","stillalive studios","astragon Entertainment"
"257","This Is the Police 2","Jul 31, 2018","$14.99","N/A (N/A/66%)","500,000 .. 1,000,000","00:00 (00:00)","Weappy Studio","THQ Nordic"
"281","We Happy Few","Aug 10, 2018","$14.99","N/A (N/A/62%)","500,000 .. 1,000,000","00:00 (00:00)","Compulsion Games","Gearbox Publishing"
"1482","DeoVR Video Player","Apr 24, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","InfoMediji LTD","VRFavs d.o.o."
"1526","Cadria Item Shop","Aug 23, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Moehaus Co. Ltd","BEST KIRIN GLOBAL LIMITED"
"1529","Neos VR","May 4, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Frooxius","Solirax"
"1537","PRO EVOLUTION SOCCER 2019 LITE","Dec 13, 2018","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"1539","Combat Arms: Reloaded","Oct 31, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","VALOFE, NEXON","VALOFE"
"1543","Wrecked","Apr 1, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Marco Amadei","Corvostudio di Amadei Marco"
"1544","MU Legend","Aug 6, 2018","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","VALOFE","VALOFE"
"1548","BattleRush","Mar 27, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","TB Games","TB Games"
"1551","Onmyoji","Apr 18, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","NetEase Games","NetEase Games"
"1552","Mini World: Block Art","Apr 27, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","MINOVATE HONG KONG LIMITED","MINOVATE HONG KONG LIMITED"
"1555","Aimtastic","Jan 28, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Victor Möller","Pixel Pointer Studios"
"1556","Animal Jam","Dec 11, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","WildWorks, Inc.","WildWorks, Inc."
"1559","Professional Fishing","Nov 30, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","MasterCode","Ultimate Games S.A."
"1565","Closers","Feb 6, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Naddic Games","Naddic Games"
"1567","Zero-K","Apr 27, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Zero-K Team","Zero-K Team"
"1573","EVGA Precision X1","Sep 20, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","EVGA","EVGA"
"1574","Tactical Monsters Rumble Arena","Jan 31, 2018","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Camex Games","Camex Games"
"1575","MONMUSU","May 11, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Tentacle Games","NEKO WORKs"
"1580","ZULA LatinoAmerica","Jan 12, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Madbyte Games","Madbyte Games"
"1581","Eternal Card Game","Nov 15, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Dire Wolf","Dire Wolf"
"1582","Friday the 13th: Killer Puzzle","Apr 12, 2018","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Blue Wizard Digital","Blue Wizard Digital"
"1589","Coloring Pixels","Aug 17, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","ToastieLabs","ToastieLabs"
"1590","Yume Nikki","Jan 9, 2018","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","kikiyama","PLAYISM"
"1593","Cube Escape: Paradox","Sep 20, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Rusty Lake","Rusty Lake"
"1939","ESCAPE FROM VOYNA: Dead Forest","Dec 20, 2018","$6.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Dead Turtle","Dead Turtle"
"3808","Kolb Antarctica Experience","Apr 17, 2018","$2.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Devika","Devika"
"5229","Purgatory II","Feb 28, 2018","$1.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","New Reality Games, Eduard Mirica","New Reality Games"
"5642","The Corridor: On Behalf Of The Dead","Aug 30, 2018","$5.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Desktop Daydreams Studios","Desktop Daydreams Studios"
"7137","VR Regatta - The Sailing Game","Jan 30, 2018","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","MarineVerse","MarineVerse"
"7734","Mouse (Sneaking)","Jan 16, 2018","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Easy game","Game for people"
"7745","Achievements printer","Mar 2, 2018","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Easy game","Game for people"
"7758","Dude Simulator 2","Jun 28, 2018","$0.69","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Kiddy","Kiddy"
