"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"40","Black Mesa","Mar 6, 2020","$19.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","Crowbar Collective","Crowbar Collective"
"59","Borderlands 3","Mar 13, 2020","$59.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","Gearbox Software","2K"
"60","Ghostrunner","Oct 27, 2020","$8.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","One More Level, 3D Realms, Slipgate Ironworks™, All in! Games","505 Games"
"76","Detroit: Become Human","Jun 18, 2020","$39.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","00:00 (00:00)","Quantic Dream","Quantic Dream"
"109","A Way Out","Jun 18, 2020","$5.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:00 (00:00)","Hazelight Studios","Electronic Arts"
"110","Resident Evil 3","Apr 2, 2020","$9.99","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"181","Need for Speed Heat","Jun 4, 2020","$6.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Ghost Games","Electronic Arts"
"216","State of Decay 2: Juggernaut Edition","Mar 13, 2020","$9.89","N/A (N/A/69%)","2,000,000 .. 5,000,000","00:00 (00:00)","Undead Labs","Xbox Game Studios"
"255","Wolcen: Lords of Mayhem","Feb 13, 2020","$29.99","N/A (N/A/60%)","2,000,000 .. 5,000,000","00:00 (00:00)","WOLCEN Studio","WOLCEN Studio"
"265","Crucible Beta","May 20, 2020","N/A","N/A (N/A/56%)","2,000,000 .. 5,000,000","00:00 (00:00)","Relentless Studios","Amazon Games"
"1770","Spellbreak","Dec 15, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Proletariat, Inc.","Proletariat, Inc."
"1775","Phantasy Star Online 2","Aug 5, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","SEGA","SEGA"
"1776","RuneScape","Oct 14, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Jagex Ltd","Jagex Ltd"
"1780","Helltaker","May 11, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","vanripper","vanripper"
"1781","RISK: Global Domination","Feb 19, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","SMG Studio","SMG Studio"
"1783","Battlefield 1","Jun 11, 2020","$5.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","DICE","Electronic Arts"
"1784","Squad","Sep 23, 2020","$49.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Offworld","Offworld"
"1785","Noita","Oct 15, 2020","$7.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Nolla Games","Nolla Games"
"1807","Golf With Your Friends","May 19, 2020","$4.94","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Blacklight Interactive, Team17","Team17"
"1808","Mafia: Definitive Edition","Sep 24, 2020","$39.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Hangar 13","2K"
"9244","NBA 2K21","Sep 4, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Visual Concepts","2K"
"9250","Crosshair X","Aug 17, 2020","$7.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","CenterPoint Gaming","CenterPoint Gaming"
"9254","Neon Abyss","Jul 14, 2020","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Veewo Games","Team17, Veewo Games"
"9260","Football Manager 2021","Nov 24, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"6","Spelunky 2","Sep 29, 2020","$19.99","N/A (N/A/91%)","1,000,000 .. 2,000,000","00:00 (00:00)","Mossmouth, BlitWorks","Mossmouth"
"11","Battlefield 3","Jun 11, 2020","$5.99","N/A (N/A/89%)","1,000,000 .. 2,000,000","00:00 (00:00)","DICE","Electronic Arts"
"16","OMORI","Dec 25, 2020","$19.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","OMOCAT, LLC","OMOCAT, LLC"
"17","Persona 4 Golden","Jun 13, 2020","$11.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","ATLUS","SEGA"
"24","Control Ultimate Edition","Aug 27, 2020","$7.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Remedy Entertainment","505 Games"
"27","Outer Wilds","Jun 18, 2020","$24.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Mobius Digital","Annapurna Interactive"
"41","Spiritfarer: Farewell Edition","Aug 18, 2020","$29.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","Thunder Lotus Games","Thunder Lotus Games"
"58","Command & Conquer Remastered Collection","Jun 5, 2020","$5.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","Petroglyph, Lemon Sky Studios","Electronic Arts"
"73","GWENT: The Witcher Card Game","May 19, 2020","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","CD PROJEKT RED","CD PROJEKT RED"
"75","KARDS - The WWII Card Game","Apr 15, 2020","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","1939 Games","1939 Games"
"89","STAR WARS: Squadrons","Oct 1, 2020","$7.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","00:00 (00:00)","MOTIVE","Electronic Arts"
"90","Untitled Goose Game","Sep 23, 2020","$19.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","00:00 (00:00)","House House","Panic"
"124","Plants vs. Zombies: Battle for Neighborville","Jun 4, 2020","$7.49","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","PopCap","Electronic Arts"
"125","Unrailed!","Sep 23, 2020","$19.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Indoor Astronaut","Daedalic Entertainment"
"152","Iron Harvest","Sep 1, 2020","$29.99","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","KING Art","Prime Matter"
"156","Age of Empires III: Definitive Edition","Oct 15, 2020","Free","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","World's Edge, Tantalus Media, Forgotten Empires","Xbox Game Studios"
"169","Darwin Project","Jan 13, 2020","Free","N/A (N/A/74%)","1,000,000 .. 2,000,000","00:00 (00:00)","Scavengers Studio","Scavengers Studio"
"180","DRAGON BALL Z: KAKAROT","Jan 16, 2020","$14.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:00 (00:00)","CyberConnect2 Co. Ltd.","Bandai Namco Entertainment Inc."
"190","Mass Effect: Andromeda Deluxe Edition","Jun 11, 2020","$7.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"225","Serious Sam 4","Sep 24, 2020","$39.99","N/A (N/A/68%)","1,000,000 .. 2,000,000","00:00 (00:00)","Croteam","Devolver Digital"
"247","Mafia III: Definitive Edition","May 19, 2020","$29.99","N/A (N/A/62%)","1,000,000 .. 2,000,000","00:00 (00:00)","Hangar 13, Aspyr (Mac)","2K, Aspyr (Mac)"
"258","Drug Dealer Simulator","Apr 16, 2020","$19.99","N/A (N/A/59%)","1,000,000 .. 2,000,000","00:00 (00:00)","Byterunners","Movie Games S.A."
"266","Skater XL - The Ultimate Skateboarding Game","Jul 28, 2020","$39.99","N/A (N/A/56%)","1,000,000 .. 2,000,000","00:00 (00:00)","Easy Day Studios Pty Ltd","Easy Day Studios Pty Ltd"
"901","Ring of Fire: Prologue","Dec 15, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","de Fault, Chard","Far Few Giants"
"1720","3on3 FreeStyle: Rebound","Jul 14, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Joycity","Joycity"
"1726","Builders of Egypt: Prologue","Mar 2, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Strategy Labs","Strategy Labs, PlayWay S.A., CreativeForge Games"
"1728","Shadow Arena","May 21, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Pearl Abyss","Pearl Abyss"
"1754","Scribble It!","Oct 20, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Detach Entertainment","Detach Entertainment"
"1757","Soulworker","Oct 2, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","VALOFE","G・O・P"
"1759","Cyber Hunter","Jun 18, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","NetEase Games","NetEase Games"
"1763","Resident Evil 3: Raccoon City Demo","Mar 19, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"1764","Pixel Strike 3D","May 29, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Vulcron","Vulcron"
"1766","Escape Room - Der kranke Kollege","Sep 5, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Bitbeast Games","Bitbeast Games"
"1767","BLEACH Brave Souls","Aug 17, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","KLab Inc.","KLab Inc."
"1768","Idle Champions of the Forgotten Realms","Mar 25, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Codename Entertainment Inc.","Codename Entertainment Inc."
"1771","Shop Titans","May 5, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Kabam Games, Inc.","Kabam Games, Inc."
"1774","Action Taimanin","Oct 5, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","LiLith","Infini-Brain inc."
"1777","DDraceNetwork","Aug 17, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","DDNet Team","DDNet Team"
"1778","Leaf Blower Revolution - Idle Game","Dec 4, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Humble North","Humble North"
"1779","POLYGON: Multiplayer Shooter","Mar 6, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Redaster Studio","Redaster Studio"
"1789","EA SPORTS FIFA 21","Oct 8, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","EA Canada","Electronic Arts"
"1790","Empyrion - Galactic Survival","Aug 5, 2020","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Eleon Game Studios","Eleon Game Studios"
"1793","Superliminal","Nov 5, 2020","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Pillow Castle","Pillow Castle"
"1795","eFootball PES 2021 SEASON UPDATE","Sep 15, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"1796","Bright Memory","Mar 25, 2020","$3.19","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","FYQD-Studio","FYQD-Studio, PLAYISM"
"1798","ShellShock Live","May 22, 2020","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","kChamp Games","kChamp Games"
"1799","F1 2020","Jul 9, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"1800","Horizon Zero Dawn Complete Edition","Aug 7, 2020","$49.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Guerrilla","PlayStation Publishing LLC"
"1801","Stormworks: Build and Rescue","Sep 17, 2020","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Geometa","Geometa"
"1802","The Henry Stickmin Collection","Aug 7, 2020","$7.49","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","PuffballsUnited","Innersloth"
"1803","Besiege","Feb 18, 2020","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Spiderling Studios","Spiderling Studios"
"1804","STAR WARS Battlefront II","Jun 11, 2020","$4.79","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","DICE","Electronic Arts"
"1805","Red Dead Online","Dec 1, 2020","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Rockstar Games","Rockstar Games"
"1806","Battlefield 4","Jun 11, 2020","$5.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","DICE","Electronic Arts"
"4922","Candle In Darkness","Aug 13, 2020","$4.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Shub-Niggurath Games, ShopaLover","ShopaLover"
"7799","Strobophagia | Rave Horror","Oct 28, 2020","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Green Tile Digital","Green Tile Digital"
"8863","Evolvation","Mar 18, 2020","$1.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Eric Ruts, Jacob Kooiman","HyperReuts"
"9180","Kingdoms of Amalur: Re-Reckoning","Sep 8, 2020","$39.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","KAIKO, Big Huge Games, 38 Studios","THQ Nordic"
"9214","SNOW - The Ultimate Edition","Nov 11, 2020","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Poppermost Productions, WastedStudios, Crytek","Crytek"
"9225","ROMANCE OF THE THREE KINGDOMS XIV","Jan 15, 2020","$59.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"9229","Destroy All Humans!","Jul 28, 2020","$7.49","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Black Forest Games, Pandemic Studios","THQ Nordic"
"9239","Last Oasis","Mar 26, 2020","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Donkey Crew","Donkey Crew, Snail Games USA"
"9240","SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated","Jun 23, 2020","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Purple Lamp","THQ Nordic"
"9241","Craftopia","Sep 4, 2020","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Pocketpair","Pocketpair"
"9242","XCOM: Chimera Squad","Apr 23, 2020","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Firaxis Games","2K"
"9245","Witch It","Oct 22, 2020","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Barrel Roll Games","Barrel Roll Games"
"9248","Mafia II: Definitive Edition","May 19, 2020","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Hangar 13, D3T","2K"
"9253","Stoneshard","Feb 6, 2020","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Ink Stains Games","HypeTrain Digital"
"9255","Hydroneer","May 8, 2020","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Foulball Hangover","Foulball Hangover"
"9259","Wobbly Life","Jul 8, 2020","$14.39","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","RubberBandGames","RubberBandGames, Curve Games"
"9261","Marvel's Avengers - The Definitive Edition","Sep 4, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Crystal Dynamics, Eidos-Montréal, Nixxes","Crystal Dynamics"
"10","Mass Effect 3 N7 Digital Deluxe Edition (2012)","Jun 11, 2020","$9.89","N/A (N/A/89%)","500,000 .. 1,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"12","There Is No Game: Wrong Dimension","Aug 6, 2020","$12.99","N/A (N/A/89%)","500,000 .. 1,000,000","00:00 (00:00)","Draw Me A Pixel","Draw Me A Pixel"
"20","Desperados III","Jun 16, 2020","$39.99","N/A (N/A/86%)","500,000 .. 1,000,000","00:00 (00:00)","Mimimi Games","THQ Nordic"
"21","Monster Train","May 21, 2020","$24.99","N/A (N/A/86%)","500,000 .. 1,000,000","00:00 (00:00)","Shiny Shoe","Good Shepherd Entertainment"
"32","Dragon Age Inquisition","Jun 4, 2020","$39.99","N/A (N/A/85%)","500,000 .. 1,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"33","Wasteland 3","Aug 27, 2020","$39.99","N/A (N/A/85%)","500,000 .. 1,000,000","00:00 (00:00)","inXile Entertainment","inXile Entertainment"
"38","Wingspan","Sep 17, 2020","$19.99","N/A (N/A/84%)","500,000 .. 1,000,000","00:00 (00:00)","Monster Couch","Monster Couch, Stonemaier Games, indienova"
"39","Streets of Rage 4","Apr 30, 2020","$24.99","N/A (N/A/84%)","500,000 .. 1,000,000","00:00 (00:00)","Dotemu, Guard Crush, Lizardcube","Dotemu"
"42","Yakuza: Like a Dragon","Nov 10, 2020","$11.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Ryu Ga Gotoku Studio","SEGA"
"46","Crown Trick","Oct 16, 2020","$19.99","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","NEXT Studios","Team17, NEXT Studios"
"57","The Outer Worlds","Oct 23, 2020","$29.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Obsidian Entertainment","Private Division"
"66","Suzerain","Dec 4, 2020","$4.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Torpor Games","Torpor Games, Fellow Traveller"
"68","Monster Sanctuary","Dec 8, 2020","$7.49","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","moi rai games","Team17"
"72","Amnesia: Rebirth","Oct 20, 2020","$29.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Frictional Games","Frictional Games"
"88","UnderMine","Aug 6, 2020","$19.99","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Thorium","Thorium"
"107","Iratus: Lord of the Dead","Apr 23, 2020","$29.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Unfrozen","Daedalic Entertainment"
"108","SUPERHOT: MIND CONTROL DELETE","Jul 16, 2020","$24.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","SUPERHOT Team","SUPERHOT Team"
"138","Unravel Two","Jun 4, 2020","$4.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Coldwood Interactive","Electronic Arts"
"139","Need for Speed Rivals","Jun 4, 2020","$3.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Criterion Games","Electronic Arts"
"141","Beyond: Two Souls","Jun 18, 2020","$19.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Quantic Dream","Quantic Dream"
"153","Heavy Rain","Jun 18, 2020","$19.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Quantic Dream","Quantic Dream"
"154","Project Wingman","Dec 1, 2020","$12.49","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Sector D2","Sector D2, Humble Games"
"155","CARRION","Jul 23, 2020","$7.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Phobia Game Studio","Devolver Digital"
"167","Biped","Mar 26, 2020","$14.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:00 (00:00)","NEXT Studios","NEXT Studios, META Publishing"
"168","Need for Speed Hot Pursuit Remastered","Nov 6, 2020","$5.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:00 (00:00)","Stellar Entertainment Limited","Electronic Arts"
"179","Cloudpunk","Apr 23, 2020","$6.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","ION LANDS","ION LANDS, Maple Whispering Limited"
"187","The Battle of Polytopia","Aug 4, 2020","$14.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Midjiwan AB","Midjiwan AB"
"189","The Dungeon Of Naheulbeuk: The Amulet Of Chaos","Sep 17, 2020","$34.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Artefacts Studio","Dear Villagers, E-Home Entertainment"
"196","Pumpkin Jack","Oct 23, 2020","$29.99","N/A (N/A/71%)","500,000 .. 1,000,000","00:00 (00:00)","Nicolas Meyssonnier","Headup, Beep Japan"
"201","Immortal Realms: Vampire Wars","Aug 28, 2020","$29.99","N/A (N/A/70%)","500,000 .. 1,000,000","00:00 (00:00)","Palindrome Interactive","Kalypso Media"
"232","Exit the Gungeon","Mar 17, 2020","$9.99","N/A (N/A/67%)","500,000 .. 1,000,000","00:00 (00:00)","Dodge Roll, Singlecore","Devolver Digital"
"1003","ANARCHY","May 7, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","NewProjekt","NewProjekt"
"1674","PrprLive","May 14, 2020","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","1-reality","1-reality"
"1699","Smart Game Booster","May 11, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Smart Game Booster","Smart Game Booster"
"1707","Soccer Manager 2021","Dec 16, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Invincibles Studio Ltd","Invincibles Studio Ltd"
"1711","WGT Golf","Apr 13, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Topgolf Media","Topgolf Media"
"1719","Rakion Chaos Force","Mar 24, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Neosonyx Co., Ltd.","Neosonyx Co., Ltd."
"1736","VRoid Studio v0.13.1","Dec 23, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","pixiv Inc.","pixiv Inc."
"1745","Ninja Kiwi Archive","Jul 8, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Ninja Kiwi","Ninja Kiwi"
"1747","Soda Dungeon 2","Jul 9, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","AN Productions, Poxpower","Armor Games Studios"
"1749","Blood of Steel","Oct 20, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","YC Games","YC Games"
"1750","Devolverland Expo","Jul 11, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Flying Wild Hog","Devolver Digital"
"1753","Unfortunate Spacemen","Jun 12, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Geoff 'Zag' Keene, Deep Field Games","Deep Field Games, New Blood Interactive"
"1758","Angel Legion","Aug 14, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Shanghai SilverMoon Network Technology Co.Ltd","Shanghai SilverMoon Network Technology Co.Ltd"
"1760","TheDawn","Dec 11, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","LIMITED","LIMITED"
"1762","Samsara Room","Apr 29, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Rusty Lake","Rusty Lake"
"1773","Mr.Mine","Sep 30, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Playsaurus","Playsaurus"
"1791","Milk inside a bag of milk inside a bag of milk","Aug 26, 2020","$1.49","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Nikita Kryukov","Missing Calm"
"1792","Senren＊Banka","Feb 14, 2020","$34.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","YUZUSOFT","HIKARI FIELD, NekoNyan Ltd."
"1794","Deadside","Apr 14, 2020","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Bad Pixel","Bad Pixel, tinyBuild"
"1797","Journey","Jun 11, 2020","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","thatgamecompany","Annapurna Interactive"
"4691","Warrior Beneath Heaven","Oct 1, 2020","$1.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Keyue Game Studio","Keyue Game Studio"
